Couleur;Code;RGBA
Ton-Pierre-Bs-5g;#DCAB7F;rgba(220, 171, 127, 1.0)
Ton-Pierre-Bs-10g;#F2AF74;rgba(242, 175, 116, 1.0)
Rouge-130-17g;#B7493E;rgba(183, 73, 62, 1.0)
Rouge-Indien-17g;#AF5D51;rgba(175, 93, 81, 1.0)
Vert-Monte-Carlo-1g;#CBD1CE;rgba(203, 209, 206, 1.0)
Bleu-Canard-1g;#BEE1E5;rgba(190, 225, 229, 1.0)
Bleu-Canard-3g;#9ED7E0;rgba(158, 215, 224, 1.0)
Bleu-Lavande-15g;#8AA3D2;rgba(138, 163, 210, 1.0)
Bleu-Monte-Car-1g;#BACED4;rgba(186, 206, 212, 1.0)
Bleu-Monte-Carl-3g;#8AB6C6;rgba(138, 182, 198, 1.0)
Bleu-Monte-Carl-7g;#58C3E1;rgba(88, 195, 225, 1.0)
Gris-Anthracite-7g;#CECED0;rgba(206, 206, 208, 1.0)
Gris-Etain-7g;#BEBBBA;rgba(190, 187, 186, 1.0)
Gris-Etain-12g;#E9E5E3;rgba(233, 229, 227, 1.0)
Jaune-Citron-1g;#D2CECC;rgba(210, 206, 204, 1.0)
Jaune-Citron-15g;#C9C8AB;rgba(201, 200, 171, 1.0)
Jaune-Indien-3g;#E4CCB2;rgba(228, 204, 178, 1.0)
Jaune-Indien-1g;#DBCDC2;rgba(219, 205, 194, 1.0)
Marron-Glaise-1g;#E6E1DF;rgba(230, 225, 223, 1.0)
Marron-Glaise-3g;#E6DEDA;rgba(230, 222, 218, 1.0)
Ocre-Icles-Sof-1g;#DAD3CD;rgba(218, 211, 205, 1.0)
Ocre-Icles-Sof-3g;#E5D8C8;rgba(229, 216, 200, 1.0)
Ocre-Icles-Sof-7g;#E5D3B2;rgba(229, 211, 178, 1.0)
Ocre-Jaune-Clair -1g;#DDD8D2;rgba(221, 216, 210, 1.0)
Ocre-Jaune-Clair-3g;#E3D9D0;rgba(227, 217, 208, 1.0)
Ocre-Jaune-Jfles-1g;#E8DDD1;rgba(232, 221, 209, 1.0)
Ombre-De-Chypre-HG-1g;#D9C5B3;rgba(217, 197, 179, 1.0)
Ombre-De-Chypre-HG-3g;#CBB198;rgba(203, 177, 152, 1.0)
Ombre-naturelle-1g;#D5CCC7;rgba(213, 204, 199, 1.0)
Ombre-naturelle-3g;#C3B6B0;rgba(195, 182, 176, 1.0)
Oxy-Apt-Jaune-1g-Bis;#EADDCD;rgba(234, 221, 205, 1.0)
Oxy-Apt-Jaune-1g;#E5D6C3;rgba(229, 214, 195, 1.0)
Patine-Terre-1g;#DCD8D7;rgba(220, 216, 215, 1.0)
Patine-Terre-3g;#E0DBD9;rgba(224, 219, 217, 1.0)
Patine-Terre-7g;#DED9D5;rgba(222, 217, 213, 1.0)
Patine-Terre-12g;#DDD7D2;rgba(221, 215, 210, 1.0)
Rouge-Ercolano-1g;#ECCABD;rgba(236, 202, 189, 1.0)
Rouge-Ercolano-3g;#EEAE94;rgba(238, 174, 148, 1.0)
Rouge-San-Franc-3g-Bis;#F1DADC;rgba(241, 218, 220, 1.0)
Terre-Verte-de-Bren-1g;#BDBBB8;rgba(189, 187, 184, 1.0)
Terre-Verte-de-Bren-3g;#CAC9C6;rgba(202, 201, 198, 1.0)
Terre-Verte-de-Bren-7g;#C5C6C2;rgba(197, 198, 194, 1.0)
Terre-Verte-de-Bren-17g;#BDC0B8;rgba(189, 192, 184, 1.0)
Vert-A-La-Chaux-1g;#DDE3E1;rgba(221, 227, 225, 1.0)
Vert-A-La-Chaux-7g;#C7E0DC;rgba(199, 224, 220, 1.0)
Vert-Colibri-1g;#CDCFCE;rgba(205, 207, 206, 1.0)
Vert-Colibri-3g;#CACCCA;rgba(202, 204, 202, 1.0)
Vert-Colibri-7g;#B9C9CC;rgba(185, 201, 204, 1.0)
